title,kind,estMonthly,startupCost,hoursPerWeek,notes,url
Etsy POD – Minimalist Witch – Micro,active,150,0,0.5,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Starter,passive,45,15,1.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Deluxe,active,25,10,1.5,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Bundle,active,180,10,2.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Seasonal,passive,150,0,2.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Collab,active,180,0,2.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Limited,passive,90,15,1.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Anime Quotes – Set A,passive,180,40,2.0,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Set B,passive,35,0,1.0,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Set C,passive,90,0,1.0,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Micro,passive,25,0,1.5,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Starter,active,180,0,0.5,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Deluxe,active,75,10,1.5,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Bundle,active,120,0,1.0,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Seasonal,active,120,25,1.0,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Collab,active,60,25,2.0,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Anime Quotes – Limited,active,25,0,0.5,Batch 3 assets/week for anime quotes. Automate posts.,
Etsy POD – Black History Icons – Set A,active,120,0,2.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Set B,active,120,40,1.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Set C,passive,120,40,1.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Micro,passive,45,0,1.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Starter,passive,35,15,2.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Deluxe,passive,45,25,1.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Bundle,passive,75,0,1.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Seasonal,active,60,15,1.5,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Collab,passive,25,25,2.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Black History Icons – Limited,passive,60,0,1.0,Batch 3 assets/week for black history icons. Automate posts.,
Etsy POD – Soft Grunge – Set A,passive,90,0,2.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Set B,passive,180,0,1.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Set C,active,35,25,1.5,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Micro,passive,90,40,1.5,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Starter,active,60,25,1.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Deluxe,passive,60,10,2.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Bundle,passive,35,40,1.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Seasonal,passive,120,15,2.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Collab,passive,75,10,0.5,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – Soft Grunge – Limited,active,60,40,2.0,Batch 3 assets/week for soft grunge. Automate posts.,
Etsy POD – K‑Fashion – Set A,passive,25,40,2.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Set B,passive,25,25,3.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Set C,active,35,0,0.5,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Micro,passive,90,10,2.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Starter,passive,120,15,0.5,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Deluxe,active,45,25,2.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Bundle,passive,60,0,2.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Seasonal,active,35,0,3.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Collab,active,120,0,2.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – K‑Fashion – Limited,active,180,10,3.0,Batch 3 assets/week for k‑fashion. Automate posts.,
Etsy POD – Alt Romance – Set A,active,60,10,1.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Set B,passive,180,40,2.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Set C,passive,150,40,2.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Micro,passive,25,25,2.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Starter,active,120,40,0.5,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Deluxe,passive,150,25,1.5,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Bundle,passive,150,10,1.5,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Seasonal,passive,25,25,3.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Collab,active,60,0,1.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Alt Romance – Limited,active,120,25,3.0,Batch 3 assets/week for alt romance. Automate posts.,
Etsy POD – Gamer Mood – Set A,passive,75,0,2.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Set B,active,60,0,1.5,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Set C,passive,150,0,2.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Micro,passive,120,0,2.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Starter,active,60,40,2.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Deluxe,active,25,0,1.5,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Bundle,active,35,25,2.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Seasonal,active,150,10,1.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Collab,passive,45,0,3.0,Batch 3 assets/week for gamer mood. Automate posts.,
Etsy POD – Gamer Mood – Limited,passive,120,15,1.5,Batch 3 assets/week for gamer mood. Automate posts.,
Canva Marketplace – Budget Trackers – Set A,passive,35,0,3.0,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Set B,passive,25,25,3.0,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Set C,passive,35,0,1.0,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Micro,active,75,0,1.5,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Starter,passive,120,25,1.0,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Deluxe,passive,90,40,0.5,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Bundle,passive,150,15,0.5,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Seasonal,active,25,0,1.5,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Collab,active,60,0,1.5,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Budget Trackers – Limited,passive,35,0,1.0,Batch 3 assets/week for budget trackers. Automate posts.,
Canva Marketplace – Meal Planners – Set A,passive,75,0,0.5,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Set B,active,150,25,0.5,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Set C,active,90,0,2.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Micro,passive,120,0,0.5,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Starter,passive,150,10,1.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Deluxe,active,150,0,1.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Bundle,active,35,15,3.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Seasonal,active,75,40,3.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Collab,active,45,25,2.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Meal Planners – Limited,active,25,0,3.0,Batch 3 assets/week for meal planners. Automate posts.,
Canva Marketplace – Medical Binder – Set A,passive,60,25,1.0,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Set B,passive,75,15,1.5,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Set C,active,150,25,1.5,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Micro,passive,75,25,1.0,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Starter,passive,120,0,2.0,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Deluxe,active,45,25,1.0,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Bundle,passive,45,25,0.5,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Seasonal,active,90,0,0.5,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Collab,passive,45,0,1.0,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Medical Binder – Limited,passive,75,10,1.0,Batch 3 assets/week for medical binder. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Set A,passive,180,0,3.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Set B,active,180,15,3.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Set C,passive,45,25,1.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Micro,active,35,0,1.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Starter,passive,60,0,1.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Deluxe,passive,25,0,1.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Bundle,active,150,0,0.5,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Seasonal,active,90,25,1.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Collab,active,75,25,3.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – Wardrobe Capsule – Limited,active,120,25,3.0,Batch 3 assets/week for wardrobe capsule. Automate posts.,
Canva Marketplace – ADHD Planners – Set A,active,90,0,0.5,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Set B,active,180,15,0.5,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Set C,active,60,25,2.0,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Micro,passive,150,15,1.5,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Starter,passive,75,0,1.0,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Deluxe,active,25,0,1.0,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Bundle,active,90,0,0.5,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Seasonal,passive,120,0,2.0,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Collab,passive,75,40,2.0,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – ADHD Planners – Limited,active,25,0,0.5,Batch 3 assets/week for adhd planners. Automate posts.,
Canva Marketplace – Symptom Tracker – Set A,active,45,0,2.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Set B,active,180,0,3.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Set C,passive,60,0,1.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Micro,active,180,0,1.5,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Starter,passive,35,10,1.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Deluxe,passive,150,10,1.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Bundle,passive,90,0,1.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Seasonal,active,60,0,2.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Collab,passive,150,40,1.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Symptom Tracker – Limited,active,25,15,3.0,Batch 3 assets/week for symptom tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Set A,passive,150,0,1.0,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Set B,active,120,0,1.5,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Set C,active,45,0,1.0,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Micro,passive,150,0,1.5,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Starter,passive,150,40,1.5,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Deluxe,active,45,0,0.5,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Bundle,passive,45,15,1.5,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Seasonal,active,45,0,1.0,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Collab,passive,35,40,2.0,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Spoon Tracker – Limited,passive,75,25,2.0,Batch 3 assets/week for spoon tracker. Automate posts.,
Canva Marketplace – Hydration Log – Set A,passive,25,0,0.5,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Set B,active,75,0,2.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Set C,passive,120,15,0.5,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Micro,active,45,10,3.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Starter,passive,25,10,2.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Deluxe,active,150,15,2.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Bundle,active,90,15,2.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Seasonal,active,120,10,1.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Collab,active,60,0,1.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Hydration Log – Limited,passive,35,0,2.0,Batch 3 assets/week for hydration log. Automate posts.,
Canva Marketplace – Care Team Cards – Set A,passive,25,10,1.5,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Set B,passive,35,0,1.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Set C,passive,60,25,1.5,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Micro,active,180,25,1.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Starter,passive,45,0,1.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Deluxe,passive,45,40,1.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Bundle,active,25,0,1.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Seasonal,passive,150,40,2.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Collab,active,90,0,2.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Care Team Cards – Limited,active,45,0,1.0,Batch 3 assets/week for care team cards. Automate posts.,
Canva Marketplace – Emergency Cards – Set A,active,75,0,2.0,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Set B,active,120,15,2.0,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Set C,active,150,0,1.0,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Micro,passive,90,0,0.5,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Starter,active,25,0,0.5,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Deluxe,passive,25,0,0.5,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Bundle,passive,180,15,0.5,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Seasonal,passive,180,0,0.5,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Collab,active,75,25,2.0,Batch 3 assets/week for emergency cards. Automate posts.,
Canva Marketplace – Emergency Cards – Limited,passive,90,10,2.0,Batch 3 assets/week for emergency cards. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Set A,passive,150,40,3.0,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Set B,passive,180,0,1.0,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Set C,active,60,10,1.5,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Micro,active,35,40,3.0,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Starter,active,45,0,1.5,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Deluxe,active,45,0,0.5,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Bundle,active,180,40,1.5,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Seasonal,passive,180,0,1.5,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Collab,passive,150,0,2.0,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Notion Templates – Limited,passive,75,25,1.5,Batch 3 assets/week for notion templates. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Set A,passive,90,25,3.0,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Set B,active,35,15,0.5,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Set C,passive,45,0,1.5,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Micro,active,45,25,3.0,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Starter,active,90,40,1.0,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Deluxe,active,25,15,1.5,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Bundle,passive,90,40,0.5,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Seasonal,passive,60,25,1.0,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Collab,passive,45,15,2.0,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Advocacy Scripts – Limited,passive,90,40,3.0,Batch 3 assets/week for advocacy scripts. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Set A,active,120,15,1.5,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Set B,passive,90,25,3.0,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Set C,active,35,0,1.5,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Micro,active,45,10,0.5,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Starter,active,45,40,1.5,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Deluxe,active,120,15,1.5,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Bundle,passive,25,0,3.0,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Seasonal,active,25,0,1.0,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Collab,active,90,0,1.0,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Study Halls – Limited,passive,120,25,2.0,Batch 3 assets/week for study halls. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Set A,active,120,0,3.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Set B,passive,60,15,1.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Set C,passive,25,0,3.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Micro,passive,150,25,1.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Starter,passive,180,40,1.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Deluxe,passive,90,0,1.0,Batch 3 assets/week for workshop replays. Automate posts.,
